epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
73,1639.99,0.06757,0.92507,0.997,0.33759,0.0005248,0.0005248,0.0005248
74,1662.44,0.0694,0.93007,0.99401,0.32747,0.0005182,0.0005182,0.0005182
75,1684.46,0.04566,0.93307,0.998,0.29817,0.0005116,0.0005116,0.0005116
76,1706.57,0.05277,0.93407,0.996,0.31733,0.000505,0.000505,0.000505
77,1729.24,0.06207,0.93007,0.998,0.33179,0.0004984,0.0004984,0.0004984
78,1752.53,0.07122,0.93207,0.997,0.30606,0.0004918,0.0004918,0.0004918
79,1774.56,0.05554,0.93606,0.997,0.24886,0.0004852,0.0004852,0.0004852
80,1797.09,0.05199,0.92907,0.997,0.27585,0.0004786,0.0004786,0.0004786
81,1819.33,0.05138,0.93906,0.997,0.2662,0.000472,0.000472,0.000472
82,1841.75,0.05775,0.93107,0.999,0.28482,0.0004654,0.0004654,0.0004654
83,1863.77,0.04589,0.94206,0.998,0.271,0.0004588,0.0004588,0.0004588
84,1886.91,0.05201,0.94406,0.997,0.27579,0.0004522,0.0004522,0.0004522
85,1909.21,0.05691,0.92308,0.997,0.28423,0.0004456,0.0004456,0.0004456
86,1931.3,0.05174,0.93806,0.99401,0.27705,0.000439,0.000439,0.000439
87,1953.68,0.04784,0.93506,0.99501,0.30066,0.0004324,0.0004324,0.0004324
88,1976.64,0.05348,0.93407,0.99401,0.28914,0.0004258,0.0004258,0.0004258
89,1999.36,0.04342,0.94206,0.99301,0.2832,0.0004192,0.0004192,0.0004192
90,2022.63,0.03931,0.93307,0.99501,0.29361,0.0004126,0.0004126,0.0004126
91,2044.76,0.0405,0.93906,0.99501,0.27684,0.000406,0.000406,0.000406
92,2067.76,0.03787,0.94006,0.996,0.26595,0.0003994,0.0003994,0.0003994
93,2090.76,0.04287,0.93407,0.996,0.27246,0.0003928,0.0003928,0.0003928
94,2113.29,0.04056,0.93007,0.99501,0.33742,0.0003862,0.0003862,0.0003862
95,2136.37,0.03884,0.94006,0.99501,0.30219,0.0003796,0.0003796,0.0003796
96,2158.37,0.03837,0.93307,0.99501,0.30298,0.000373,0.000373,0.000373
97,2180.28,0.03834,0.94206,0.996,0.27148,0.0003664,0.0003664,0.0003664
98,2203.44,0.03777,0.94006,0.997,0.25948,0.0003598,0.0003598,0.0003598
99,2226.14,0.0429,0.93906,0.996,0.25468,0.0003532,0.0003532,0.0003532
100,2248.92,0.04086,0.93806,0.996,0.25279,0.0003466,0.0003466,0.0003466
101,2271.54,0.03812,0.94406,0.998,0.23651,0.00034,0.00034,0.00034
102,2293.85,0.04308,0.94006,0.998,0.24477,0.0003334,0.0003334,0.0003334
103,2316.5,0.03478,0.94306,0.996,0.25873,0.0003268,0.0003268,0.0003268
104,2339.26,0.03809,0.93706,0.997,0.26724,0.0003202,0.0003202,0.0003202
105,2361.96,0.03541,0.94705,0.996,0.24445,0.0003136,0.0003136,0.0003136
106,2384.13,0.02721,0.94006,0.996,0.2458,0.000307,0.000307,0.000307
107,2406.14,0.02971,0.94406,0.997,0.24046,0.0003004,0.0003004,0.0003004
108,2428.27,0.02614,0.95105,0.99501,0.24149,0.0002938,0.0002938,0.0002938
109,2450.13,0.0336,0.94705,0.997,0.23746,0.0002872,0.0002872,0.0002872
110,2472.65,0.02947,0.95205,0.997,0.22883,0.0002806,0.0002806,0.0002806
111,2495.77,0.03249,0.94905,0.99501,0.24127,0.000274,0.000274,0.000274
112,2518.76,0.02812,0.94905,0.99501,0.25473,0.0002674,0.0002674,0.0002674
113,2540.42,0.02859,0.94905,0.99401,0.2341,0.0002608,0.0002608,0.0002608
114,2562.33,0.02681,0.95305,0.99501,0.22069,0.0002542,0.0002542,0.0002542
115,2584.62,0.02993,0.95005,0.99501,0.21049,0.0002476,0.0002476,0.0002476
116,2607.31,0.02678,0.95405,0.99501,0.22651,0.000241,0.000241,0.000241
117,2629.37,0.0199,0.95005,0.99401,0.24733,0.0002344,0.0002344,0.0002344
118,2651.5,0.02701,0.94505,0.99401,0.25784,0.0002278,0.0002278,0.0002278
119,2674.09,0.01816,0.94605,0.99401,0.25518,0.0002212,0.0002212,0.0002212
120,2696.8,0.02463,0.94406,0.99401,0.25334,0.0002146,0.0002146,0.0002146
121,2718.72,0.0216,0.94505,0.99401,0.2607,0.000208,0.000208,0.000208
122,2740.98,0.02692,0.94805,0.99401,0.27245,0.0002014,0.0002014,0.0002014
123,2763.11,0.02214,0.94406,0.99501,0.28422,0.0001948,0.0001948,0.0001948
124,2785.04,0.01871,0.94905,0.99401,0.27387,0.0001882,0.0001882,0.0001882
125,2808.02,0.02056,0.95305,0.99401,0.27057,0.0001816,0.0001816,0.0001816
126,2830,0.02293,0.95005,0.99301,0.27106,0.000175,0.000175,0.000175
127,2852.84,0.01922,0.94605,0.99401,0.26154,0.0001684,0.0001684,0.0001684
128,2874.78,0.01973,0.94605,0.99501,0.25755,0.0001618,0.0001618,0.0001618
129,2896.63,0.02104,0.94505,0.99501,0.26848,0.0001552,0.0001552,0.0001552
130,2918.92,0.01601,0.94705,0.99501,0.26579,0.0001486,0.0001486,0.0001486
131,2940.96,0.01765,0.94805,0.99501,0.26125,0.000142,0.000142,0.000142
