epoch,accuracy,loss,lr,precision,recall,top3_acc,val_accuracy,val_loss,val_precision,val_recall,val_top3_acc
0,0.5275607705116272,1.764878749847412,1e-04,0.7167530059814453,0.19654273986816406,0.8305121660232544,0.4975173771381378,1.8397401571273804,0.596802830696106,0.3336643576622009,0.8500496745109558
1,0.5926649570465088,1.6036739349365234,1e-04,0.7784885764122009,0.22959905862808228,0.8708767294883728,0.5203574895858765,1.7048853635787964,0.6965888738632202,0.385302871465683,0.825223445892334
2,0.6150173544883728,1.5354934930801392,1e-04,0.8042203783988953,0.24360795319080353,0.8936631679534912,0.5471698045730591,1.6848547458648682,0.7183811068534851,0.4230387210845947,0.8182721138000488
3,0.6341145634651184,1.492629051208496,1e-04,0.8085265755653381,0.2546825408935547,0.8934462070465088,0.5501489639282227,1.6489207744598389,0.6957237124443054,0.42005959153175354,0.8381330966949463
4,0.6631944179534912,1.4400554895401,1e-04,0.8333333134651184,0.2776133418083191,0.9077690839767456,0.6762661337852478,1.355139970779419,0.7997032403945923,0.5352532267570496,0.9145978093147278
5,0.6727430820465088,1.4051284790039062,1e-04,0.8370136618614197,0.2816702127456665,0.9155815839767456,0.6335650682449341,1.413412094116211,0.7216216325759888,0.5302879810333252,0.9175769686698914
6,0.6755642294883728,1.389802098274231,1e-04,0.8279209733009338,0.29419460892677307,0.9155815839767456,0.6782522201538086,1.3036510944366455,0.8005502223968506,0.5779542922973633,0.912611722946167
7,0.6968315839767456,1.3446898460388184,1e-04,0.8465070724487305,0.30649566650390625,0.9233940839767456,0.5938431024551392,1.5068104267120361,0.7019498348236084,0.500496506690979,0.888778567314148
8,0.7139756679534912,1.3027976751327515,1e-04,0.8601911067962646,0.32150933146476746,0.9279513955116272,0.6405164003372192,1.3923746347427368,0.7609970569610596,0.5153922438621521,0.9066534042358398
9,0.7063801884651184,1.2950479984283447,1e-04,0.8547415137290955,0.31893491744995117,0.9303385615348816,0.6007944345474243,1.463875651359558,0.7410852909088135,0.47467726469039917,0.8828202486038208
10,0.7300347089767456,1.288905382156372,1e-04,0.8621745705604553,0.3349994122982025,0.9351128339767456,0.5580933690071106,1.6157424449920654,0.6576576828956604,0.43495529890060425,0.8520357608795166
11,0.7371962070465088,1.251987338066101,1e-04,0.8556855916976929,0.3382352888584137,0.9381510615348816,0.6782522201538086,1.2724624872207642,0.7991913557052612,0.5888778567314148,0.9175769686698914
12,0.7458767294883728,1.2168118953704834,1e-04,0.876042902469635,0.34772324562072754,0.9453125,0.7457795143127441,1.144941806793213,0.8333333134651184,0.650446891784668,0.9404170513153076
13,0.7634548544883728,1.1935874223709106,1e-04,0.8858070373535156,0.3532180190086365,0.9490017294883728,0.618669331073761,1.4560749530792236,0.7470760345458984,0.5074478387832642,0.8778550028800964
14,0.7703993320465088,1.1597039699554443,1e-04,0.8757852911949158,0.3620587885379791,0.9533420205116272,0.7467725872993469,1.1487747430801392,0.8407894968986511,0.6345580816268921,0.9324727058410645
15,0.7834201455116272,1.1406331062316895,1e-04,0.8876308798789978,0.369506299495697,0.9578993320465088,0.7467725872993469,1.1541045904159546,0.8274999856948853,0.6573982238769531,0.935451865196228
16,0.7745225429534912,1.14059317111969,1e-04,0.874022364616394,0.37007686495780945,0.9561631679534912,0.7398212552070618,1.1734626293182373,0.8037499785423279,0.6385303139686584,0.9414101243019104
17,0.7903645634651184,1.093959093093872,1e-04,0.8899284601211548,0.38172805309295654,0.9663628339767456,0.6573982238769531,1.2953153848648071,0.758169949054718,0.5759682059288025,0.9235352277755737
18,0.8044704794883728,1.0656896829605103,5e-05,0.8934134840965271,0.38745999336242676,0.9702690839767456,0.6891757845878601,1.2138839960098267,0.7683823704719543,0.6226415038108826,0.936444878578186
19,0.8161892294883728,1.0384188890457153,5e-05,0.9097297191619873,0.3988151550292969,0.9700520634651184,0.7755709886550903,1.0398393869400024,0.8526570200920105,0.7010923624038696,0.9493545293807983
20,0.8294270634651184,1.0140856504440308,5e-05,0.9131238460540771,0.4107864201068878,0.97265625,0.7408143281936646,1.117955207824707,0.81028151512146,0.6573982238769531,0.9463753700256348
21,0.8348524570465088,1.0105860233306885,5e-05,0.9086589217185974,0.41000595688819885,0.9743923544883728,0.7328699231147766,1.16360604763031,0.824999988079071,0.6554121375083923,0.9245283007621765
22,0.8315972089767456,1.0047682523727417,5e-05,0.9110413193702698,0.4128037989139557,0.9735243320465088,0.7318768501281738,1.141466736793518,0.8004837036132812,0.6573982238769531,0.9473684430122375
23,0.8459201455116272,0.9639332294464111,5e-05,0.9195966720581055,0.42079734802246094,0.9798176884651184,0.7507447600364685,1.0869598388671875,0.8082352876663208,0.682224452495575,0.945382297039032
24,0.8463541865348816,0.972838282585144,5e-05,0.9220645427703857,0.4239943027496338,0.9724392294883728,0.7636544108390808,1.0742427110671997,0.822407603263855,0.6852035522460938,0.9433962106704712
25,0.8565537929534912,0.9377614259719849,2.5e-05,0.9252858757972717,0.43058183789253235,0.9800347089767456,0.7745779752731323,1.0199682712554932,0.8400927186012268,0.7199602723121643,0.9543197751045227
26,0.8585069179534912,0.9499760866165161,2.5e-05,0.9289925694465637,0.42928215861320496,0.9800347089767456,0.7557100057601929,1.0568296909332275,0.8309524059295654,0.6931479573249817,0.9533267021179199
27,0.869140625,0.930815577507019,2.5e-05,0.9288597106933594,0.43703263998031616,0.9819878339767456,0.8073485493659973,0.9591484665870667,0.851767361164093,0.7418073415756226,0.9642502665519714
28,0.8721787929534912,0.9146916270256042,2.5e-05,0.9369663596153259,0.4402879476547241,0.9835069179534912,0.784508466720581,0.983343780040741,0.8440678119659424,0.7418073415756226,0.9572989344596863
29,0.8695746660232544,0.9169875383377075,2.5e-05,0.9378147125244141,0.4407762289047241,0.9837239384651184,0.7666335701942444,1.0439374446868896,0.827102780342102,0.7030784487724304,0.9523336887359619
30,0.8719618320465088,0.914648175239563,2.5e-05,0.9266485571861267,0.4470391869544983,0.9828559160232544,0.7835153937339783,0.9859010577201843,0.8461538553237915,0.7318768501281738,0.9612711071968079
31,0.8795573115348816,0.9012953639030457,2.5e-05,0.939393937587738,0.44238707423210144,0.9841579794883728,0.7626613974571228,1.0301234722137451,0.831153392791748,0.6941410303115845,0.9582919478416443
32,0.8745659589767456,0.9061204195022583,2.5e-05,0.9330024719238281,0.4433439373970032,0.9848090410232544,0.784508466720581,0.9825758337974548,0.839184582233429,0.7358490824699402,0.9622641801834106
33,0.8817274570465088,0.8916432857513428,1.25e-05,0.9389880895614624,0.44911032915115356,0.9852430820465088,0.7924528121948242,0.9843992590904236,0.8466818928718567,0.7348560094833374,0.9582919478416443
34,0.8804253339767456,0.8938801884651184,1.25e-05,0.940405547618866,0.450378954410553,0.9822048544883728,0.7686196565628052,1.0278393030166626,0.8279069662094116,0.707050621509552,0.9503475427627563
35,0.88671875,0.8796268105506897,1.25e-05,0.9449813961982727,0.45252788066864014,0.9871962070465088,0.7835153937339783,0.988044023513794,0.8452655673027039,0.7269116044044495,0.9513406157493591
36,0.8919270634651184,0.8740035891532898,1.25e-05,0.9432153105735779,0.45322465896606445,0.9900173544883728,0.794438898563385,0.9472942352294922,0.8531073331832886,0.7497517466545105,0.9622641801834106
37,0.8932291865348816,0.866257905960083,1.25e-05,0.9497056007385254,0.45680907368659973,0.9865451455116272,0.8103277087211609,0.9334679245948792,0.8666666746139526,0.7487586736679077,0.9582919478416443
38,0.8851996660232544,0.8687923550605774,1.25e-05,0.9450036883354187,0.4552336037158966,0.9887152910232544,0.7855014801025391,0.9699146151542664,0.8405466675758362,0.7328699231147766,0.9612711071968079
39,0.8893229365348816,0.8694812655448914,1.25e-05,0.9422178268432617,0.4515140950679779,0.9887152910232544,0.784508466720581,0.971987783908844,0.8497174978256226,0.7467725872993469,0.9612711071968079
40,0.8958333134651184,0.86347496509552,1.25e-05,0.94671231508255,0.460140198469162,0.9876301884651184,0.7964250445365906,0.9423024654388428,0.8679906725883484,0.737835168838501,0.9602780342102051
41,0.8988715410232544,0.8586649894714355,1.25e-05,0.9469696879386902,0.4562043845653534,0.9898003339767456,0.8063555359840393,0.9026114344596863,0.869222104549408,0.7656404972076416,0.9622641801834106
42,0.8995225429534912,0.8488073945045471,1.25e-05,0.9480582475662231,0.4623032212257385,0.9911024570465088,0.7914597988128662,0.9489503502845764,0.8540229797363281,0.737835168838501,0.9632571935653687
43,0.900390625,0.8458238840103149,1.25e-05,0.9501943588256836,0.463169127702713,0.9895833134651184,0.7855014801025391,0.976297914981842,0.8459770083427429,0.7308838367462158,0.9572989344596863
44,0.9012587070465088,0.85115647315979,1.25e-05,0.9485561847686768,0.46107572317123413,0.9906684160232544,0.7924528121948242,0.9446619749069214,0.8495475053787231,0.7457795143127441,0.9622641801834106
45,0.9060329794883728,0.8434671759605408,1.25e-05,0.9548560380935669,0.46269363164901733,0.990234375,0.7825223207473755,0.9727551937103271,0.8446490168571472,0.7288976907730103,0.9582919478416443
46,0.9055989384651184,0.8409104943275452,1.25e-05,0.9522424340248108,0.46320754289627075,0.990234375,0.7874875664710999,0.9588584899902344,0.8479999899864197,0.7368420958518982,0.9563058614730835
47,0.9077690839767456,0.8343856334686279,6.25e-06,0.9531514048576355,0.4673771560192108,0.9889323115348816,0.794438898563385,0.9367552399635315,0.8510882258415222,0.737835168838501,0.9563058614730835
48,0.9064670205116272,0.828291654586792,6.25e-06,0.9520481824874878,0.4668557345867157,0.9895833134651184,0.7974180579185486,0.9168643951416016,0.8512304425239563,0.7557100057601929,0.9652432799339294
49,0.9053819179534912,0.8356808423995972,6.25e-06,0.9510017037391663,0.4671013653278351,0.990234375,0.7855014801025391,0.9580549597740173,0.8489702343940735,0.7368420958518982,0.9582919478416443
50,0.9051649570465088,0.8359461426734924,6.25e-06,0.9493487477302551,0.46784737706184387,0.9913194179534912,0.7874875664710999,0.9601575136184692,0.8492063283920288,0.7437934279441833,0.9543197751045227
51,0.9049479365348816,0.8319287300109863,6.25e-06,0.9544907212257385,0.46613359451293945,0.9908854365348816,0.7904667258262634,0.9490139484405518,0.8451024889945984,0.7368420958518982,0.9612711071968079
52,0.9123263955116272,0.8185789585113525,3.125e-06,0.9549160599708557,0.4711868464946747,0.9904513955116272,0.7884806394577026,0.9403945207595825,0.8534091114997864,0.7457795143127441,0.9592850208282471
53,0.9197048544883728,0.8107336759567261,3.125e-06,0.9586124420166016,0.4760037958621979,0.9917534589767456,0.7924528121948242,0.9383307099342346,0.8539071083068848,0.7487586736679077,0.9592850208282471
54,0.9110243320465088,0.8237747550010681,3.125e-06,0.957314133644104,0.4715331792831421,0.9904513955116272,0.7974180579185486,0.933078944683075,0.8479729890823364,0.7477656602859497,0.9572989344596863
55,0.9077690839767456,0.8272647857666016,3.125e-06,0.9529185891151428,0.47035807371139526,0.9898003339767456,0.8003972172737122,0.9328857064247131,0.8643678426742554,0.7467725872993469,0.9592850208282471
56,0.9095051884651184,0.8264347314834595,3.125e-06,0.9548309445381165,0.4687536954879761,0.9895833134651184,0.7805362343788147,0.9531452655792236,0.8467650413513184,0.7408143281936646,0.9572989344596863
57,0.9069010615348816,0.8204509019851685,1.5625e-06,0.9536169171333313,0.46975257992744446,0.9921875,0.7954319715499878,0.9346742033958435,0.8526077270507812,0.7467725872993469,0.9602780342102051
58,0.9168837070465088,0.8143622875213623,1.5625e-06,0.9568122029304504,0.47450006008148193,0.9898003339767456,0.7974180579185486,0.9389857053756714,0.852104663848877,0.7437934279441833,0.9602780342102051
59,0.9077690839767456,0.8288524150848389,1.5625e-06,0.9527238011360168,0.4668940305709839,0.9928385615348816,0.7964250445365906,0.9320405721664429,0.8571428656578064,0.7447865009307861,0.9612711071968079
