epoch,accuracy,loss,lr,precision,recall,top3_acc,val_accuracy,val_loss,val_precision,val_recall,val_top3_acc
0,0.2693142294883728,5.94338321685791,0.002,0.38867032527923584,0.1170477420091629,0.5792100429534912,0.3833167850971222,5.118924617767334,0.7795275449752808,0.09831181913614273,0.7030784487724304
1,0.3598090410232544,5.187171936035156,0.002,0.5227894186973572,0.13548311591148376,0.6879340410232544,0.413108229637146,4.617508888244629,0.5489130616188049,0.10029791295528412,0.8013902902603149
2,0.4155815839767456,4.5546088218688965,0.002,0.6101158857345581,0.13675011694431305,0.7356770634651184,0.3982125222682953,4.153225898742676,0.767123281955719,0.11122144758701324,0.7785501480102539
3,0.4505208432674408,3.9676432609558105,0.002,0.6552901268005371,0.13617020845413208,0.7684462070465088,0.4568023979663849,3.6432759761810303,0.8224852085113525,0.13803376257419586,0.8083416223526001
4,0.4661458432674408,3.5035035610198975,0.002,0.6722129583358765,0.14373813569545746,0.7782118320465088,0.4846077561378479,3.264463424682617,0.7303370833396912,0.12909632921218872,0.8083416223526001
5,0.4728732705116272,3.158271551132202,0.002,0.6860274076461792,0.14844676852226257,0.7934027910232544,0.40714994072914124,3.036003589630127,0.6116071343421936,0.13604766130447388,0.8053624629974365
6,0.4730902910232544,2.893775701522827,0.002,0.6929090023040771,0.14693346619606018,0.7923176884651184,0.3823237419128418,2.8203518390655518,0.6463414430618286,0.15789473056793213,0.7825223207473755
7,0.48046875,2.697134494781494,0.002,0.6989367604255676,0.1466134488582611,0.8111979365348816,0.4458788335323334,2.6127326488494873,0.6086956262588501,0.16683217883110046,0.8152929544448853
8,0.4871961772441864,2.559192657470703,0.002,0.7094972133636475,0.15042047202587128,0.8046875,0.3555114269256592,2.6762001514434814,0.5370370149612427,0.17279046773910522,0.7586891651153564
9,0.4830729067325592,2.4967117309570312,0.002,0.7053056359291077,0.14461393654346466,0.8016493320465088,0.4975173771381378,2.4029836654663086,0.7491638660430908,0.2224428951740265,0.8133068680763245
10,0.4852430522441864,2.4551336765289307,0.002,0.7089715600013733,0.15348176658153534,0.8109809160232544,0.4736842215061188,2.4070351123809814,0.8285714387893677,0.14399205148220062,0.8063555359840393
11,0.4685329794883728,2.4152626991271973,0.002,0.6940715909004211,0.14728222787380219,0.7994791865348816,0.4091360569000244,2.4715404510498047,0.7552083134651184,0.14399205148220062,0.7795432209968567
12,0.4720052182674408,2.4123952388763428,0.002,0.7026699185371399,0.1372525840997696,0.8059895634651184,0.4518371522426605,2.431955099105835,0.674876868724823,0.27209532260894775,0.7586891651153564
13,0.4848090410232544,2.3666794300079346,0.002,0.6887561082839966,0.14951066672801971,0.8053385615348816,0.4280039668083191,2.4254603385925293,0.6016260385513306,0.146971195936203,0.7855014801025391
14,0.4691840410232544,2.3662259578704834,0.002,0.6919459104537964,0.1390267014503479,0.7960069179534912,0.41608738899230957,2.4038426876068115,0.625984251499176,0.15789473056793213,0.7894737124443054
15,0.4976128339767456,2.272339344024658,0.001,0.7243517637252808,0.15198107063770294,0.8109809160232544,0.46474677324295044,2.2382285594940186,0.6851851940155029,0.18371400237083435,0.8152929544448853
16,0.5154079794883728,2.1547975540161133,0.001,0.7334410548210144,0.16084080934524536,0.8155381679534912,0.4885799288749695,2.141281843185425,0.7250000238418579,0.17279046773910522,0.8291956186294556
17,0.5115017294883728,2.0837225914001465,0.001,0.7420886158943176,0.16635137796401978,0.8237847089767456,0.41807347536087036,2.179464340209961,0.5552238821983337,0.18470704555511475,0.8103277087211609
18,0.5021701455116272,2.0536069869995117,0.001,0.7470651268959045,0.16605384647846222,0.8246527910232544,0.46573981642723083,2.0833425521850586,0.622559666633606,0.28500497341156006,0.8133068680763245
